,Min,Max
10_FORMYL_THF_pc_Close,0.0,0.0
10_FORMYL_THF_pc_Day,0.0,0.0
10_FORMYL_THF_pc_Night,0.0,0.0
10_FORMYL_THF_pc_Open,0.0,0.0
1TRANSKETO_RXN_p_Close,-0.10057521805120635,-0.10057521806129743
1TRANSKETO_RXN_p_Day,1.3785877651846699,1.3785877651863647
1TRANSKETO_RXN_p_Night,-1.436851221542984,-1.4368512214458096
1TRANSKETO_RXN_p_Open,0.061697081963773735,0.06169708196162286
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mc_Close,1.7607893865469053,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mc_Day,6.5643707668520355,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mc_Night,9.452968562801088,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mc_Open,0.9785354498626114,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_Close,1.7607893865502449,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_Day,6.564370766851075,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_Night,9.452968562802923,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_Open,0.9785354498656269,0.0
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p_Close,0.0,2.162303824365501e-10
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p_Day,25.347598399792876,24.830627988031665
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p_Night,0.0,0.0
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p_Open,2.304327127253898,2.2811907215146014
1_PERIOD_1_PERDIOD_1_PERIOD_255_RXN_c_Close,0.0,0.0
1_PERIOD_1_PERDIOD_1_PERIOD_255_RXN_c_Day,0.0,0.0
1_PERIOD_1_PERDIOD_1_PERIOD_255_RXN_c_Night,0.0,0.0
1_PERIOD_1_PERDIOD_1_PERIOD_255_RXN_c_Open,0.0,0.0
1_PERIOD_2_PERIOD_1_PERIOD_13_RXN_p_Close,0.0,0.0
