,Min,Max
10_FORMYL_THF_pc_Close,0.0,0.0
10_FORMYL_THF_pc_Day,0.0,0.0
10_FORMYL_THF_pc_Night,0.0,0.0
10_FORMYL_THF_pc_Open,0.0,0.0
1TRANSKETO_RXN_p_Close,-0.1005752180494693,-0.10057521798750978
1TRANSKETO_RXN_p_Day,1.3519999974561525,1.3519999974547545
1TRANSKETO_RXN_p_Night,-1.4368512215439047,-1.4368512215456803
1TRANSKETO_RXN_p_Open,0.08828484969887995,0.08828484969185758
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mc_Close,1.7607893865519282,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mc_Day,6.7715772443418505,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mc_Night,9.452968562800176,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mc_Open,0.8233433772159419,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_Close,1.7607893865610287,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_Day,6.771577244358532,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_Night,9.452968562799636,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_Open,0.8233433772304491,0.0
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p_Close,0.0,0.0
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p_Day,25.395278270927847,24.88827827188646
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p_Night,0.0,0.0
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p_Open,2.3086616609930117,2.275554842333743
1_PERIOD_1_PERDIOD_1_PERIOD_255_RXN_c_Close,0.0,0.0
1_PERIOD_1_PERDIOD_1_PERIOD_255_RXN_c_Day,0.0,0.0
1_PERIOD_1_PERDIOD_1_PERIOD_255_RXN_c_Night,0.0,0.0
1_PERIOD_1_PERDIOD_1_PERIOD_255_RXN_c_Open,0.0,0.0
1_PERIOD_2_PERIOD_1_PERIOD_13_RXN_p_Close,0.0,0.0
