,Flux
10_FORMYL_THF_pc_Close,0.0
10_FORMYL_THF_pc_Day,0.0
10_FORMYL_THF_pc_Night,0.0
10_FORMYL_THF_pc_Open,0.0
1TRANSKETO_RXN_p_Close,-0.07142165378131526
1TRANSKETO_RXN_p_Day,1.1782061718148509
1TRANSKETO_RXN_p_Night,-1.4368512215454572
1TRANSKETO_RXN_p_Open,0.07364377915028138
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mc_Close,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mc_Day,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mc_Night,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mc_Open,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_Close,1.0541585258665123
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_Day,6.855371758392156
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_Night,9.452968562799072
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_Open,0.824010851396615
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p_Close,0.0
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p_Day,23.99448251668326
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p_Night,0.0
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p_Open,2.193866294738084
1_PERIOD_1_PERDIOD_1_PERIOD_255_RXN_c_Close,0.0
1_PERIOD_1_PERDIOD_1_PERIOD_255_RXN_c_Day,0.0
1_PERIOD_1_PERDIOD_1_PERIOD_255_RXN_c_Night,0.0
1_PERIOD_1_PERDIOD_1_PERIOD_255_RXN_c_Open,0.0
1_PERIOD_2_PERIOD_1_PERIOD_13_RXN_p_Close,0.0
1_PERIOD_2_PERIOD_1_PERIOD_13_RXN_p_Day,13.635210411013585
1_PERIOD_2_PERIOD_1_PERIOD_13_RXN_p_Night,0.0
1_PERIOD_2_PERIOD_1_PERIOD_13_RXN_p_Open,0.676319048134424
1_PERIOD_2_PERIOD_1_PERIOD_2_RXN_m_Close,0.0
1_PERIOD_2_PERIOD_1_PERIOD_2_RXN_m_Day,0.0
1_PERIOD_2_PERIOD_1_PERIOD_2_RXN_m_Night,0.0
