,Flux
10_FORMYL_THF_pc_Close,0.0
10_FORMYL_THF_pc_Day,0.0
10_FORMYL_THF_pc_Night,0.0
10_FORMYL_THF_pc_Open,0.0
1TRANSKETO_RXN_p_Close,-0.10057521805182112
1TRANSKETO_RXN_p_Day,1.351999997456142
1TRANSKETO_RXN_p_Night,-1.4368512215454587
1TRANSKETO_RXN_p_Open,0.08828484969155136
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mc_Close,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mc_Day,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mc_Night,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mc_Open,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_Close,1.7607893865510797
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_Day,6.77157724435807
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_Night,9.45296856279907
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_Open,0.8233433772229686
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p_Close,0.0
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p_Day,24.88827827188144
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p_Night,0.0
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p_Open,2.2755548423590763
1_PERIOD_1_PERDIOD_1_PERIOD_255_RXN_c_Close,0.0
1_PERIOD_1_PERDIOD_1_PERIOD_255_RXN_c_Day,0.0
1_PERIOD_1_PERDIOD_1_PERIOD_255_RXN_c_Night,0.0
1_PERIOD_1_PERDIOD_1_PERIOD_255_RXN_c_Open,0.0
1_PERIOD_2_PERIOD_1_PERIOD_13_RXN_p_Close,0.0
1_PERIOD_2_PERIOD_1_PERIOD_13_RXN_p_Day,14.61280068024583
1_PERIOD_2_PERIOD_1_PERIOD_13_RXN_p_Night,0.0
1_PERIOD_2_PERIOD_1_PERIOD_13_RXN_p_Open,0.7586750699290715
1_PERIOD_2_PERIOD_1_PERIOD_2_RXN_m_Close,0.0
1_PERIOD_2_PERIOD_1_PERIOD_2_RXN_m_Day,0.0
1_PERIOD_2_PERIOD_1_PERIOD_2_RXN_m_Night,0.0
