,Flux
10_FORMYL_THF_pc_Close,0.0
10_FORMYL_THF_pc_Day,0.0
10_FORMYL_THF_pc_Night,0.0
10_FORMYL_THF_pc_Open,0.0
1TRANSKETO_RXN_p_Close,-0.10057521805181996
1TRANSKETO_RXN_p_Day,1.3522797941718752
1TRANSKETO_RXN_p_Night,-1.4368512215454583
1TRANSKETO_RXN_p_Open,0.08800505297583075
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mc_Close,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mc_Day,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mc_Night,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mc_Open,0.0
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_Close,1.760789386551067
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_Day,6.771698722765484
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_Night,9.452968562799066
1_PERIOD_10_PERIOD_2_PERIOD_2_RXN_mi_Open,0.8251858173992643
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p_Close,0.0
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p_Day,24.88997360681485
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p_Night,0.0
1_PERIOD_18_PERIOD_1_PERIOD_2_RXN_p_Open,2.2758234260094548
1_PERIOD_1_PERDIOD_1_PERIOD_255_RXN_c_Close,0.0
1_PERIOD_1_PERDIOD_1_PERIOD_255_RXN_c_Day,0.0
1_PERIOD_1_PERDIOD_1_PERIOD_255_RXN_c_Night,0.0
1_PERIOD_1_PERDIOD_1_PERIOD_255_RXN_c_Open,0.0
1_PERIOD_2_PERIOD_1_PERIOD_13_RXN_p_Close,0.0
1_PERIOD_2_PERIOD_1_PERIOD_13_RXN_p_Day,14.614374536771841
1_PERIOD_2_PERIOD_1_PERIOD_13_RXN_p_Night,0.0
1_PERIOD_2_PERIOD_1_PERIOD_13_RXN_p_Open,0.757101213403143
1_PERIOD_2_PERIOD_1_PERIOD_2_RXN_m_Close,0.0
1_PERIOD_2_PERIOD_1_PERIOD_2_RXN_m_Day,0.0
1_PERIOD_2_PERIOD_1_PERIOD_2_RXN_m_Night,0.0
